Date,Source,Site.ID,POC,Daily.Max.1.hour.SO2.Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,360010012,1,1.1,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/2/2016,AQS,360010012,1,1,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/3/2016,AQS,360010012,1,2.4,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/4/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/5/2016,AQS,360010012,1,1.3,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/6/2016,AQS,360010012,1,1.5,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/7/2016,AQS,360010012,1,4.1,ppb,6,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/8/2016,AQS,360010012,1,2.2,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/9/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/10/2016,AQS,360010012,1,0.8,ppb,0,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/11/2016,AQS,360010012,1,0.9,ppb,0,LOUDONVILLE,23,96,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/12/2016,AQS,360010012,1,1.5,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/13/2016,AQS,360010012,1,1.3,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/14/2016,AQS,360010012,1,3.9,ppb,4,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/15/2016,AQS,360010012,1,2.4,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/16/2016,AQS,360010012,1,1.5,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/17/2016,AQS,360010012,1,1.2,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/18/2016,AQS,360010012,1,1.8,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/19/2016,AQS,360010012,1,1.2,ppb,1,LOUDONVILLE,22,92,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/20/2016,AQS,360010012,1,1.7,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/21/2016,AQS,360010012,1,1.7,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/22/2016,AQS,360010012,1,1.2,ppb,1,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/23/2016,AQS,360010012,1,2,ppb,3,LOUDONVILLE,24,100,42401,Sulfur dioxide,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
