Date,Source,Site_ID,POC,Daily_Mean_PM2.5_Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
4/29/2016,AQS,360291013,3,3.7,ug/m3 LC,15,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
4/30/2016,AQS,360291013,3,3.5,ug/m3 LC,15,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/1/2016,AQS,360291013,3,3.4,ug/m3 LC,14,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/2/2016,AQS,360291013,3,2.2,ug/m3 LC,9,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/3/2016,AQS,360291013,3,3.5,ug/m3 LC,15,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/4/2016,AQS,360291013,3,5,ug/m3 LC,21,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/5/2016,AQS,360291013,3,3.7,ug/m3 LC,15,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/6/2016,AQS,360291013,3,4.4,ug/m3 LC,18,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/7/2016,AQS,360291013,3,4.9,ug/m3 LC,20,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/8/2016,AQS,360291013,3,5.2,ug/m3 LC,22,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/9/2016,AQS,360291013,3,6.6,ug/m3 LC,28,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/10/2016,AQS,360291013,3,4.8,ug/m3 LC,20,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
5/11/2016,AQS,360291013,3,4.5,ug/m3 LC,19,GRAND ISLE BOULDVARD,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.98844,-78.91859
